derviş	N;ABL(SG;PSS-2;PSS-PL	dervişinizden
çıngırağı çekmek	V;INFR;FUT;PRSP;NEG;INTR;NOM-2;NOM-PL	çıngırağı çekecek olmayacak mıymışsınız
birleştirmek	V;IND;PST;PERF;INTR;POS;NOM-2;NOM-PL	birleştirdi miydiniz
istiridye	N;ACC(SG;PSS-3;PSS-SG	istiridyesini
dakika	N;ACC-SG	dakikayı
temsilci	N;ABL(SG;PSS-1;PSS-PL	temsilcimizden
sorumluluk	N;NOM(PL;PSS-3;PSS-SG	sorumlulukları
süsmek	V;INFR;PST;PL;INTR;POS;NOM-3	süsmüşler miymiş
oynamak	V;NEC;PRS;POS;DECL;NOM-1;NOM-PL	oynameliyiz
gezmek	V;INFR;FUT;PERF;POS;DECL;NOM-2;NOM-SG	gezmiş olacaksın
bıyık	N;ABL(PL;PSS-3;PSS-SG	bıyıklarından
tarihçi	N;GEN(PL;PSS-3;PSS-SG	tarihçilerinin
ayna	N;ABL(SG;PSS-2;PSS-SG	aynandan
patlamak	V;NEC;PST;PROG;NEG;INTR;NOM-2;NOM-PL	patlıyor olmamalı mıydınız
saç fırçası	N;ACC-SG	saç fırçasını
şikâyet etmek	V;NEC;INFR;PRS;PROG;POS;DECL;NOM-2;NOM-SG	şikâyet ediyor olmalıymışsın
Belgratlı	N;DAT(SG;PSS-3;PSS-SG	Belgratlısına
silkmek	V;NEC;PRS;PROG;POS;DECL;NOM-3;NOM-PL	silkiyor olmalılar
işletim	N;PL;PRS;NOM-2;NOM-PL	işletimlersiniz
gütmek	V;INFR;PST;PERF;NEG;DECL;NOM-3;NOM-PL	gütmemişlerdi
üzmek	V;IND;PST;HAB;NEG;DECL;NOM-2;NOM-PL	üzmezdiniz
canlandırılmak	V;NEC;PST;NEG;DECL;NOM-3;NOM-PL	canlandırılmamalılardı
kovulmak	V;IND;FUT;PROG;NEG;DECL;NOM-1;NOM-PL	kovuluyor olmayacağız
ayrılmak	V;IND;FUT;PROG;NEG;DECL;NOM-1;NOM-SG	ayrılıyor olmayacağım
atom	N;GEN(SG;PSS-2;PSS-SG	atomunun
av	N;LOC(SG;PSS-2;PSS-PL	avınızda
yumurtalık	N;DAT-PL	yumurtalıklara
albüm	N;ABL(SG;PSS-2;PSS-PL	albümünüzden
oyuncak	N;PL;PRS;NOM-3;NOM-SG	oyuncaklar
girmek	V;INFR;FUT;NEG;DECL;NOM-3;NOM-SG	girmeyecekmiş
satranç	N;LOC(SG;PSS-3;PSS-SG	satrancında
ayna	N;GEN(SG;PSS-1;PSS-PL	aynamızın
yazmak	V;INFR;FUT;PROG;INTR;POS;NOM-3;NOM-SG	yazıyor olacak mıymış
gondol	N;DAT-PL	gondollara
serçe	N;GEN-SG	serçenin
temsilci	N;ACC(SG;PSS-3;PSS-SG	temsilcisini
çalmak	V;IND;PST;NEG;DECL;NOM-3;NOM-PL	çalmadılar
hastalanmak	V;IND;PST;NEG;INTR;NOM-3;NOM-PL	hastalanmadılar mı
kırdırmak	V;INFR;FUT;PROG;NEG;DECL;NOM-1;NOM-PL	kırdırıyor olmayacakmışız
harçlık	N;ABL-PL	harçlıklardan
gizem	N;GEN-SG	gizemin
sövmek	V;INFR;FUT;NEG;DECL;NOM-2;NOM-SG	sövmeyecekmişsin
kaynaştırtmak	V;INFR;PST;PRSP;NEG;INTR;NOM-3;NOM-SG	kaynaştırtmış olmayacak mıydı
atom	N;ABL(SG;PSS-3;PSS-SG	atomundan
sanmak	V;INFR;FUT;HAB;NEG;INTR;NOM-1;NOM-SG	sanır olmayacak mıymışım
çan	N;GEN(SG;PSS-1;PSS-PL	çanımızın
canlandırmak	V;INFR;PST;PRSP;NEG;DECL;NOM-3;NOM-PL	canlandırmış olmayacaklardı
eğitmek	V;NEC;PRS;PROG;NEG;INTR;NOM-3;NOM-PL	eğitiyor olmamalılar mı
keş	N;GEN(SG;PSS-2;PSS-SG	keşinin
dalmak	V;IND;FUT;INTR;POS;NOM-1;NOM-PL	dalacak mıyız
kuvvetlilik	N;ACC-SG	kuvvetliliği
tercüman	N;DAT-SG	tercümana
tutuşturmak	V;NEC;PRS;PROG;NEG;INTR;NOM-3;NOM-PL	tutuşturuyor olmamalılar mı
gaf	N;LOC(SG;PSS-2;PSS-PL	gafınızda
koleksiyon	N;DAT(SG;PSS-1;PSS-PL	koleksiyonumuza
katılmak	V;IND;PST;NEG;INTR;NOM-3;NOM-PL	katılmadılar mı
